"","education","income"
"1",10,26.6588387834
"2",10.4013377926,27.3064353458
"3",10.8428093645,22.1324101716
"4",11.2441471572,21.1698405046
"5",11.6454849498,15.1926335164
"6",12.0869565217,26.3989510407
"7",12.4882943144,17.4353065786
"8",12.889632107,25.5078852305
"9",13.2909698997,36.8845946942
"10",13.7324414716,39.6661087476
"11",14.1337792642,34.3962805641
"12",14.5351170569,41.4979935357
"13",14.9765886288,44.9815748661
"14",15.3779264214,47.0395952578
"15",15.779264214,48.2525782902
"16",16.220735786,57.0342513374
"17",16.6220735786,51.4909192103
"18",17.0234113712,61.3366205527
"19",17.4648829431,57.5819881793
"20",17.8662207358,68.5537140186
"21",18.2675585284,64.3109253037
"22",18.7090301003,68.9590086393
"23",19.110367893,74.6146392794
"24",19.5117056856,71.8671953042
"25",19.9130434783,76.0981353797
"26",20.3545150502,75.7752180299
"27",20.7558528428,72.4860553152
"28",21.1571906355,77.3550205742
"29",21.5986622074,72.1187904524
"30",22,80.2605705009
